P. Name,P. Habitable Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Zone Class,P. Min Mass (EU),P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Ts Min (K),P. Ts Mean (K),P. Ts Max (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),P. Inclination (deg),P. Omega (deg),S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),S. Appar Mag,S. Distance (pc),S. RA (hrs),S. DEC (deg),S. Mag from Planet,S. Size from Planet (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. ESI,S. HabCat,P. Habitable
GJ 180 b,3.0,2.0,3.0,2.0,3.0,8.3,8.3,1.89,1.22,2.32,2.09,0.9960187,1.234564,1.549138,254.5,267.9,284.2,298.4,304.0,328.1,10.2,-18.8,3.6,17.38,0.103,0.11,0.1,89.8971428571429,11.5,0.43,0.34,3371.0,0.013018,-0.238157894736842,3.5237037037037,10.9,11.69,4.8972,-17.7734,-27.0,1.745,2.0,2.0,0.093,0.244,-0.87,-0.14,0.74,0.46,0.75,0.0,1.0
GJ 180 b,3.0,2.0,3.0,2.0,3.0,8.3,8.3,1.89,1.22,2.32,2.09,0.9960187,1.234564,1.549138,254.5,267.9,284.2,298.4,312.0,328.1,10.2,-18.8,3.6,17.38,0.103,0.11,0.1,89.8971428571429,11.5,0.43,0.34,3371.0,0.013018,-0.238157894736842,3.5237037037037,10.9,11.69,4.8972,-17.7734,-27.0,1.745,2.0,2.0,0.093,0.244,-0.87,-0.14,0.74,0.46,0.75,0.0,1.0
GJ 180 b,3.0,2.0,3.0,2.0,3.0,8.3,8.3,1.89,1.22,2.32,2.09,0.9960187,1.234564,1.549138,254.5,267.9,284.2,298.4,273.0,328.1,10.2,-18.8,3.6,17.38,0.103,0.11,0.1,89.8971428571429,11.5,0.43,0.34,3371.0,0.013018,-0.238157894736842,3.5237037037037,10.9,11.69,4.8972,-17.7734,-27.0,1.745,2.0,2.0,0.093,0.244,-0.87,-0.14,0.74,0.46,0.75,0.0,1.0
GJ 180 b,3.0,2.0,3.0,2.0,3.0,8.3,8.3,1.89,1.22,2.32,2.09,0.9960187,1.234564,1.549138,254.5,267.9,284.2,298.4,292.0,328.1,10.2,-18.8,3.6,17.38,0.103,0.11,0.1,89.8971428571429,11.5,0.43,0.34,3371.0,0.013018,-0.238157894736842,3.5237037037037,10.9,11.69,4.8972,-17.7734,-27.0,1.745,2.0,2.0,0.093,0.244,-0.87,-0.14,0.74,0.46,0.75,0.0,1.0
GJ 180 b,3.0,2.0,3.0,2.0,3.0,8.3,8.3,1.89,1.22,2.32,2.09,0.9960187,1.234564,1.549138,254.5,267.9,284.2,298.4,304.0,328.1,10.2,-18.8,3.6,17.38,0.103,0.11,0.1,89.8971428571429,11.5,0.43,0.34,3371.0,0.013018,-0.238157894736842,3.5237037037037,10.9,11.69,4.8972,-17.7734,-27.0,1.745,2.0,2.0,0.093,0.244,-0.87,-0.14,0.74,0.46,0.75,0.0,1.0
GJ 180 c,3.0,2.0,3.0,2.0,3.0,6.4,6.4,1.77,1.16,2.04,1.9,0.6584886,0.785473,0.9446748,229.5,239.5,251.2,272.1,282.0,293.7,7.4,-18.16,3.36,24.33,0.129,0.09,0.13,89.8971428571429,234.9,0.43,0.34,3371.0,0.013018,-0.238157894736842,3.5237037037037,10.9,11.69,4.8972,-17.7734,-26.5,1.3905,2.0,2.0,0.093,0.244,-0.53,-0.14,0.64,0.54,0.77,0.0,1.0
GJ 180 c,3.0,2.0,3.0,2.0,3.0,6.4,6.4,1.77,1.16,2.04,1.9,0.6584886,0.785473,0.9446748,229.5,239.5,251.2,272.1,284.0,293.7,7.4,-18.16,3.36,24.33,0.129,0.09,0.13,89.8971428571429,234.9,0.43,0.34,3371.0,0.013018,-0.238157894736842,3.5237037037037,10.9,11.69,4.8972,-17.7734,-26.5,1.3905,2.0,2.0,0.093,0.244,-0.53,-0.14,0.64,0.54,0.77,0.0,1.0
GJ 180 c,3.0,2.0,3.0,2.0,3.0,6.4,6.4,1.77,1.16,2.04,1.9,0.6584886,0.785473,0.9446748,229.5,239.5,251.2,272.1,303.0,293.7,7.4,-18.16,3.36,24.33,0.129,0.09,0.13,89.8971428571429,234.9,0.43,0.34,3371.0,0.013018,-0.238157894736842,3.5237037037037,10.9,11.69,4.8972,-17.7734,-26.5,1.3905,2.0,2.0,0.093,0.244,-0.53,-0.14,0.64,0.54,0.77,0.0,1.0
GJ 180 c,3.0,2.0,3.0,2.0,3.0,6.4,6.4,1.77,1.16,2.04,1.9,0.6584886,0.785473,0.9446748,229.5,239.5,251.2,272.1,287.0,293.7,7.4,-18.16,3.36,24.33,0.129,0.09,0.13,89.8971428571429,234.9,0.43,0.34,3371.0,0.013018,-0.238157894736842,3.5237037037037,10.9,11.69,4.8972,-17.7734,-26.5,1.3905,2.0,2.0,0.093,0.244,-0.53,-0.14,0.64,0.54,0.77,0.0,1.0
GJ 180 c,3.0,2.0,3.0,2.0,3.0,6.4,6.4,1.77,1.16,2.04,1.9,0.6584886,0.785473,0.9446748,229.5,239.5,251.2,272.1,301.0,293.7,7.4,-18.16,3.36,24.33,0.129,0.09,0.13,89.8971428571429,234.9,0.43,0.34,3371.0,0.013018,-0.238157894736842,3.5237037037037,10.9,11.69,4.8972,-17.7734,-26.5,1.3905,2.0,2.0,0.093,0.244,-0.53,-0.14,0.64,0.54,0.77,0.0,1.0
