P. Habitable Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Zone Class,P. Min Mass (EU),P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Ts Min (K),P. Ts Mean (K),P. Ts Max (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),P. Inclination (deg),P. Omega (deg),S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),S. Appar Mag,S. Distance (pc),S. RA (hrs),S. DEC (deg),S. Mag from Planet,S. Size from Planet (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. ESI,S. HabCat,P. Habitable
2,2,3,2,3,7.26,7.26,1.83,1.19,2.17,1.99,0.5515569,0.6630019,0.804139,219.6,229.5,241.3,262.8,272.7,284.5,8.6,-18.05,3.48,25.64,0.1254,0.09,0.12,89.88,235.4,0.4,0.23,3840,0.01038,-0.311454545455,3.0,11.8,15.0,4.1544,-53.3736,-26.3,0.9881,3,1,0.083,0.212,-0.34,-0.14,0.81,0.53,0.73,0,1
3,2,3,2,3,8.3,8.3,1.89,1.22,2.32,2.09,0.9960187,1.234564,1.549138,254.5,267.9,284.2,298.4,311.9,328.1,10.2,-18.8,3.6,17.38,0.10300000000000001,0.11,0.1,89.8875,11.5,0.43,0.34,3371,0.013018,-0.1454,3.8977777777800005,10.9,11.69,4.8972,-17.7734,-27.0,1.745,2,2,0.09300000000000001,0.244,-0.87,-0.14,0.74,0.46,0.75,0,1
3,2,3,2,3,6.4,6.4,1.77,1.16,2.04,1.9,0.6584886,0.785473,0.9446747999999999,229.5,239.5,251.2,272.1,282.0,293.7,7.4,-18.16,3.36,24.33,0.129,0.09,0.13,89.8875,234.9,0.43,0.34,3371,0.013018,-0.1454,3.8977777777800005,10.9,11.69,4.8972,-17.7734,-26.5,1.3905,2,2,0.09300000000000001,0.244,-0.53,-0.14,0.64,0.54,0.77,0,1
3,2,3,1,3,9.9,9.9,1.98,1.28,2.53,2.24,0.6164305999999999,0.6804333,0.7529996999999999,225.7,231.3,237.3,270.6,276.1,282.2,12.6,-18.25,3.76,26.16,0.11900000000000001,0.05,0.12,89.8875,246.4,0.35,0.3,3323,0.009623999999999999,-0.1454,3.8977777777800005,11.5,12.67,11.2667,-56.4523,-26.3,1.3345,1,1,0.08,0.21,-0.41,-0.13,1.11,0.46,0.71,0,1
3,4,3,2,3,3.8,3.8,1.54,1.05,1.61,1.57,0.8427715,0.8769776,0.9129552,244.1,246.5,249.0,284.0,286.4,288.9,4.0,-17.97,2.92,28.14,0.125,0.02,0.12,89.8875,292.0,0.33,0.35,3350,0.0137,-0.55,2.0,10.2,6.8,17.3158,-34.9897,-26.6,1.4848,6,3,0.096,0.251,-0.62,-0.15,0.21,0.6,0.84,0,1
2,4,3,2,3,2.7,2.7,1.4,0.99,1.39,1.39,0.290249,0.3020295,0.3144201,187.0,188.9,190.8,225.2,227.1,229.0,2.7,-16.59,2.65,62.24,0.213,0.02,0.21,89.88,28.6,0.33,0.35,3350,0.0137,-0.55,2.0,10.2,6.8,17.3158,-34.9897,-25.4,0.8714,6,3,0.096,0.251,0.51,-0.16,0.23,0.63,0.6,0,1
2,4,3,2,3,2.7,2.7,1.4,0.99,1.39,1.39,0.5306531,0.5632069000000001,0.5983137,217.4,220.7,224.1,255.7,258.9,262.3,2.7,-17.28,2.65,39.03,0.156,0.03,0.16,89.88,103.0,0.33,0.35,3350,0.0137,-0.55,2.0,10.2,6.8,17.3158,-34.9897,-26.1,1.19,6,3,0.096,0.251,-0.22,-0.16,0.08,0.78,0.77,0,1
2,2,3,1,3,8.7,8.7,1.92,1.24,2.37,2.13,0.3020603,0.3673006,0.45118450000000004,188.9,198.0,208.8,233.0,242.1,253.0,10.8,-17.51,3.64,57.32,0.17600000000000002,0.1,0.18,89.88,320.9,0.27,0.39,3028,0.01132,-0.311454545455,3.3225,11.878571428599999,5.08,17.6177,-43.6808,-25.6,1.1831,2,1,0.087,0.23199999999999998,0.23,-0.14,1.19,0.45,0.59,0,1
3,2,3,2,3,5.4,5.4,1.69,1.12,1.89,1.79,0.7038802,0.9962042999999999,1.457365,233.4,253.0,279.9,275.0,294.7,321.6,6.0,-18.33,3.21,35.68,0.163,0.18,0.16,89.8875,10.0,0.45,0.45,3472,0.026036,-0.3,3.8977777777800005,8.7,4.95,21.6444,-49.00899999999999,-26.7,1.4853,2,1,0.132,0.34299999999999997,-0.7,-0.15,0.43,0.54,0.81,1,1
2,2,3,1,3,8.57,8.57,1.91,1.23,2.35,2.12,0.43660920000000003,0.5950867,0.8325111999999999,207.1,222.7,243.4,251.2,266.8,287.4,10.6,-18.03,3.63,48.14,0.1939,0.16,0.19,89.88,17.3,0.42,0.41,3466,0.022085,0.02,3.3225,12.0,18.2,4.4766,-25.1711,-26.2,1.1499,3,2,0.122,0.316,-0.25,-0.14,1.0,0.49,0.7,0,1
